Fold,Accuracy,Precision,Recall,F1,Kappa,ROC_AUC
0,0.9230769230769231,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8424242424242424,0.9939393939393939
1,0.9230769230769231,1.0,0.8181818181818182,0.9,0.8385093167701864,0.9757575757575758
2,0.8461538461538461,0.7333333333333333,1.0,0.846153846153846,0.699421965317919,1.0
3,0.92,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8376623376623377,0.9870129870129871
4,0.84,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6753246753246753,0.922077922077922
Average,0.8904615384615384,0.873939393939394,0.890909090909091,0.8765034965034966,0.7786685074998723,0.9757575757575758
